City,Country,Temperature,Humidity,Cloudiness,Wind speed,Latitude,Longitude,Max Temperature,Date
sinnamary,GF,78.3,87,96,14.43,5.3833,-52.95,78.3,1613185652
grindavik,IS,41.0,81,75,39.12,63.8424,-22.4338,41.0,1613185653
marawi,PH,82.99,81,39,4.0,7.9986,124.2928,82.99,1613185653
shitanjing,CN,39.25,56,80,7.81,39.2342,106.3439,39.25,1613185653
vuktyl,RU,-17.5,87,57,4.29,63.8567,57.3094,-17.5,1613185653
paragominas,BR,73.94,98,100,2.06,-2.9667,-47.4833,73.94,1613185654
santa maria,BR,68.0,100,40,3.44,-29.6842,-53.8069,68.0,1613185654
katangli,RU,22.44,97,97,6.31,51.7102,143.2326,22.44,1613185654
rapid valley,US,-5.3,77,90,3.13,44.0625,-103.1463,-4.0,1613185654
xiongzhou,CN,65.61,59,35,2.89,25.1167,114.3,65.61,1613185655
burgeo,CA,25.43,93,12,17.13,47.6167,-57.6152,25.43,1613185655
gobabis,NA,65.25,73,100,5.44,-22.45,18.9667,65.25,1613185656
paka,MY,78.4,89,40,3.44,4.6374,103.4368,78.8,1613185656
kulhudhuffushi,MV,80.11,65,100,8.16,6.6221,73.07,80.11,1613185656
monterey,US,40.44,62,3,6.96,36.2505,-121.2516,43.0,1613185499
mandera,KE,73.18,66,8,6.73,3.9366,41.867,73.18,1613185657
sakakah,SA,53.6,62,0,3.44,29.9697,40.2064,53.6,1613185657
chinchani,IN,73.69,49,0,1.81,19.8667,72.7,73.69,1613185657
vredendal,ZA,64.56,88,72,0.92,-31.6683,18.5012,64.56,1613185658
pitimbu,BR,77.0,100,90,6.91,-7.4706,-34.8086,77.0,1613185658
humaita,BR,75.45,90,97,0.27,-7.5061,-63.0208,75.45,1613185456
iroquois falls,CA,-13.0,64,1,5.75,48.7669,-80.6831,-13.0,1613185658
sabla,NG,69.89,20,0,9.78,12.7525,4.7077,69.89,1613185659
itinga,BR,70.52,79,61,2.59,-16.6131,-41.7653,70.52,1613185659
grand baie,MU,75.99,85,8,5.99,-20.0182,57.5802,75.99,1613185659
anadyr,RU,-14.35,70,40,20.13,64.75,177.4833,-14.01,1613185660
moose factory,CA,-11.2,77,1,6.91,51.2585,-80.6094,-11.2,1613185660
wattegama,LK,75.2,100,1,1.14,6.7989,81.4808,75.2,1613185660
salalah,OM,66.2,45,0,2.84,17.0151,54.0924,66.2,1613185660
mumbwa,ZM,63.86,98,100,5.77,-14.9783,27.0619,63.86,1613185661
bridlington,GB,30.0,69,92,18.01,54.0831,-0.1919,30.0,1613185661
amnat charoen,TH,75.33,45,0,8.57,15.9167,104.75,75.33,1613185661
sao felix do xingu,BR,73.4,94,100,1.32,-6.6447,-51.995,73.4,1613185661
kiruna,SE,5.0,92,71,6.91,67.8557,20.2251,5.0,1613185662
afrikanda,RU,-4.88,91,82,3.27,67.4429,32.7828,-4.88,1613185662
tulagi,SB,80.31,84,100,12.93,-9.0996,160.1476,80.31,1613185662
khasan,RU,35.01,87,100,1.01,42.4308,130.6434,35.01,1613185662
coron,PH,82.56,77,98,4.79,11.9986,120.2043,82.56,1613185663
olafsvik,IS,39.63,73,100,23.96,64.8945,-23.7142,39.63,1613185663
tilichiki,RU,-12.01,85,0,12.77,60.4667,166.1,-12.01,1613185663
chake chake,TZ,78.1,82,74,7.31,-5.2459,39.7666,78.1,1613185663
asau,RO,15.91,57,0,11.5,46.4333,26.4,16.0,1613185664
college,US,-2.36,77,1,4.61,64.8569,-147.8028,1.99,1613185369
sovetskiy,RU,-8.77,91,100,3.44,61.3614,63.5842,-8.77,1613185664
puerto penasco,MX,64.99,45,1,5.01,31.3167,-113.5333,64.99,1613185485
urshelskiy,RU,8.53,95,100,16.2,55.6783,40.2169,8.53,1613185665
akdepe,TM,28.44,86,0,4.61,42.0551,59.3788,30.2,1613185665
eskil,TR,34.39,84,92,6.24,38.4017,33.4131,34.39,1613185665
atherton,GB,28.09,53,96,11.99,53.5237,-2.4935,30.0,1613185666
atbasar,KZ,26.69,98,100,6.06,51.8,68.3333,26.69,1613185666
san jose,US,52.59,76,75,5.75,37.3394,-121.895,54.0,1613185603
channel-port aux basques,CA,27.86,94,73,15.73,47.5702,-59.1367,27.86,1613185667
lavrentiya,RU,-5.15,89,100,17.74,65.5833,-171.0,-5.15,1613185667
porto santo,PT,57.2,77,0,4.21,33.072,-16.3415,57.2,1613185667
ajdabiya,LY,53.17,77,0,4.63,30.7554,20.2263,53.17,1613185667
port blair,IN,81.57,69,96,11.39,11.6667,92.75,81.57,1613185668
bilibino,RU,-16.91,83,45,1.97,68.0546,166.4372,-16.91,1613185668
pacific grove,US,52.29,82,75,4.61,36.6177,-121.9166,53.6,1613185668
leningradskiy,RU,-18.54,84,100,7.07,69.3833,178.4167,-18.54,1613185668
haapiti,PF,82.2,65,75,14.97,-17.5667,-149.8667,82.4,1613185669
sebastian,US,24.6,74,90,10.36,35.1668,-94.2669,25.0,1613185669
shimoda,JP,55.02,72,75,6.91,34.6667,138.95,57.2,1613185571
vasai,IN,75.25,38,3,3.96,19.47,72.8,77.0,1613185670
arraial do cabo,BR,76.08,89,100,14.65,-22.9661,-42.0278,76.08,1613185670
kalmunai,LK,77.34,87,45,8.32,7.4167,81.8167,77.34,1613185671
hami,CN,39.58,62,0,1.72,42.8,93.45,39.58,1613185671
enshi,CN,62.29,60,2,1.9,30.3,109.4833,62.29,1613185672
jumla,NP,50.54,34,0,1.59,29.2747,82.1838,50.54,1613185672
chon daen,TH,84.0,41,0,8.1,16.1895,100.8596,84.99,1613185672
warrnambool,AU,69.01,58,0,11.23,-38.3833,142.4833,69.01,1613185672
lyubech,UA,7.81,95,100,17.31,51.7026,30.6569,7.81,1613185673
kirchlinteln,DE,10.35,92,0,1.14,52.95,9.3167,16.0,1613185673
belozerskoye,RU,-0.56,93,97,5.39,55.8214,65.5842,-0.56,1613185673
claveria,PH,76.8,66,32,9.6,18.6074,121.0832,76.8,1613185673
lodja,CD,69.87,96,100,2.13,-3.4833,23.4333,69.87,1613185641
haines junction,CA,-14.8,76,0,1.14,60.7522,-137.5108,-14.8,1613185674
hun,LY,53.55,43,0,8.95,29.1268,15.9477,53.55,1613185674
bandarbeyla,SO,71.35,77,71,11.56,9.4942,50.8122,71.35,1613185674
saint-georges,GD,78.8,78,75,17.27,12.0564,-61.7485,78.8,1613185636
little current,CA,-1.1,47,32,5.75,45.9793,-81.9248,3.2,1613185675
papetoai,PF,82.2,65,75,14.97,-17.4961,-149.8729,82.4,1613185675
brownwood,US,24.8,80,90,11.21,31.7093,-98.9912,24.8,1613185675
krasnogvardeyets,RU,30.83,97,100,12.91,52.6804,52.3635,30.83,1613185675
cabinda,AO,79.32,82,74,6.11,-5.55,12.2,79.32,1613185676
am timan,TD,68.04,23,60,5.32,11.0297,20.2827,68.04,1613185676
balakhninskiy,RU,-6.12,85,100,2.8,58.0106,114.2769,-6.12,1613185676
gazli,UZ,45.03,81,0,9.4,40.1333,63.45,45.03,1613185677
puerto ayacucho,VE,80.31,64,93,4.25,5.6639,-67.6236,80.31,1613185677
lubango,AO,53.15,66,6,2.66,-14.9172,13.4925,53.15,1613185459
kaupanger,NO,3.99,84,0,1.99,61.1845,7.2404,3.99,1613185678
naze,JP,69.8,83,75,19.57,28.3667,129.4833,69.8,1613185678
shiyan,CN,57.99,48,100,2.35,32.6475,110.7781,57.99,1613185678
port hedland,AU,89.6,55,90,10.36,-20.3167,118.5667,89.6,1613185678
bartica,GY,77.0,88,75,4.61,6.4,-58.6167,77.0,1613185679
grand gaube,MU,75.99,85,3,5.99,-20.0064,57.6608,75.99,1613185679
lugovoy,KZ,34.97,85,100,1.3,42.9472,72.7644,34.97,1613185679
jiayuguan,CN,38.17,61,100,2.17,39.8167,98.3,38.17,1613185679
sao miguel do araguaia,BR,71.17,96,99,5.44,-13.275,-50.1628,71.17,1613185680
normandin,CA,5.0,78,100,13.8,48.8333,-72.5321,5.0,1613185680
trincomalee,LK,78.62,82,68,10.92,8.5711,81.2335,78.62,1613185680
tarko-sale,RU,-29.47,84,98,2.48,64.9225,77.785,-29.47,1613185681
ozernovskiy,RU,27.66,96,100,7.58,51.5,156.5167,27.66,1613185681
aras,ES,41.0,93,0,4.61,42.5617,-2.356,41.0,1613185681
gweta,BW,70.77,79,96,8.48,-20.1833,25.2333,70.77,1613185682
soyo,AO,79.95,78,66,6.35,-6.1349,12.3689,79.95,1613185450
mochudi,BW,68.0,94,0,1.14,-24.4167,26.15,68.0,1613185519
talnakh,RU,-21.41,86,100,2.33,69.4865,88.3972,-21.41,1613185682
bud,US,24.01,75,96,9.01,39.447,-86.1758,24.01,1613185683
jundia,BR,75.2,94,75,4.61,-8.9347,-35.5736,75.2,1613185683
kyshtovka,RU,-16.67,86,100,6.93,56.555,76.6271,-16.67,1613185683
churapcha,RU,6.64,90,100,3.22,62.0025,132.4325,6.64,1613185684
concordia,AR,68.0,97,11,4.0,-31.393,-58.0209,68.0,1613185636
kolvereid,NO,36.91,80,100,25.88,64.8655,11.6047,36.91,1613185684
macapa,BR,78.8,94,75,2.3,0.0389,-51.0664,78.8,1613185684
gao,ML,71.24,18,0,11.07,16.6362,1.637,71.24,1613185465
rawson,AR,72.43,64,0,18.95,-43.3002,-65.1023,72.43,1613185685
jian,CN,58.69,79,100,3.71,27.1172,114.9793,58.69,1613185685
sur,OM,67.33,56,0,1.3,22.5667,59.5289,67.33,1613185685
san lawrenz,MT,57.4,88,0,8.05,36.0553,14.204,57.99,1613185686
roma,US,0.93,66,1,2.01,43.2128,-75.4557,5.0,1613185686
balatonlelle,HU,17.28,73,0,6.91,46.7832,17.695,17.6,1613185686
siniscola,IT,50.0,100,75,3.44,40.5719,9.6922,50.0,1613185686
novoasbest,RU,7.03,95,100,2.98,57.7422,60.2877,7.03,1613185687
lerwick,GB,37.4,56,90,25.32,60.1545,-1.1494,37.4,1613185687
sulangan,PH,81.91,75,14,5.55,11.1373,123.7228,81.91,1613185688
mugumu,TZ,59.34,97,100,4.56,-1.85,34.7,59.34,1613185688
domoni,KM,80.55,80,97,10.96,-12.2569,44.5319,80.55,1613185688
pochutla,MX,78.01,75,16,2.24,15.7432,-96.4661,78.01,1613185688
los llanos de aridane,ES,57.94,67,0,10.36,28.6585,-17.9182,62.6,1613185566
shieli,KZ,33.93,91,66,4.65,44.1667,66.75,33.93,1613185464
esperance,AU,73.4,46,0,5.75,-33.8667,121.9,73.4,1613185689
berlevag,NO,16.57,93,54,10.8,70.8578,29.0864,16.57,1613185689
kushmurun,KZ,26.53,98,100,4.79,52.4503,64.6311,26.53,1613185690
tikrit,IQ,54.21,52,41,1.45,34.6071,43.6782,54.21,1613185690
guerrero negro,MX,59.41,80,6,16.55,27.9769,-114.0611,59.41,1613185690
iranshahr,IR,53.6,26,0,6.91,27.2025,60.6848,53.6,1613185690
kuala terengganu,MY,78.4,89,40,2.3,5.3302,103.1408,78.8,1613185691
suntar,RU,-11.42,87,100,7.23,62.1444,117.6319,-11.42,1613185691
kimbe,PG,84.33,74,96,4.21,-5.5502,150.1429,84.33,1613185691
nouadhibou,MR,62.6,82,0,23.02,20.931,-17.0347,62.6,1613185691
sri aman,MY,82.2,83,40,3.44,1.2376,111.4621,82.4,1613185692
calafell,ES,48.07,100,9,3.65,41.2,1.5683,50.0,1613185692
xapuri,BR,72.64,95,94,1.92,-10.6517,-68.5044,72.64,1613185692
tyubuk,RU,11.75,96,100,6.55,56.0552,60.9405,11.75,1613185692
iskilip,TR,29.93,83,36,3.87,40.7353,34.4739,29.93,1613185693
asuncion,PY,73.4,88,0,3.76,-25.3007,-57.6359,73.4,1613185693
alice springs,AU,78.42,94,90,9.22,-23.7,133.8833,87.01,1613185527
northam,GB,35.28,78,100,8.01,51.0333,-4.2167,37.0,1613185693
bellevue,US,26.91,86,90,6.91,47.6104,-122.2007,28.99,1613185693
tabuk,PH,76.82,71,57,5.32,17.4189,121.4443,76.82,1613185476
spornoye,RU,8.6,78,90,11.18,50.8448,37.2913,8.6,1613185694
ouadda,CF,68.38,25,0,4.18,8.0777,22.4007,68.38,1613185694
tondano,ID,82.4,78,40,5.75,1.3038,124.9112,82.4,1613185694
baykit,RU,-17.75,83,97,1.43,61.67,96.37,-17.75,1613185551
port hope,US,15.69,68,100,13.8,43.9408,-82.7127,19.4,1613185682
dakar,SN,64.4,88,0,11.5,14.6937,-17.4441,64.4,1613185695
korla,CN,37.69,69,18,5.91,41.7597,86.1469,37.69,1613185696
yatou,CN,53.76,53,0,8.93,37.15,122.3833,53.76,1613185624
abyek,IR,39.31,36,0,9.22,36.0667,50.55,42.8,1613185696
yaan,NG,73.0,52,100,3.8,7.3833,8.5667,73.0,1613185697
marsh harbour,BS,75.07,83,79,13.0,26.5412,-77.0636,75.07,1613185515
ocos,GT,77.0,83,20,2.3,14.5094,-92.1933,77.0,1613185697
kununurra,AU,93.2,59,40,11.5,-15.7667,128.7333,93.2,1613185697
gat,IL,50.65,88,0,2.28,31.61,34.7642,53.01,1613185698
marinette,US,6.8,72,90,6.91,45.1,-87.6307,8.6,1613185698
singaraja,ID,85.19,63,42,4.29,-8.112,115.0882,85.19,1613185698
san francisco,US,51.1,76,75,18.41,37.7749,-122.4194,54.0,1613185542
kiunga,PG,78.93,83,100,3.58,-6.1219,141.2906,78.93,1613185699
iskateley,RU,-15.9,87,83,1.48,67.6803,53.1512,-15.9,1613185699
sambava,MG,74.48,85,98,4.34,-14.2667,50.1667,74.48,1613185699
santa vitoria do palmar,BR,70.68,89,100,10.36,-33.5189,-53.3681,70.68,1613185628
nioaque,BR,70.47,90,0,2.86,-21.1353,-55.83,70.47,1613185700
ambulu,ID,83.19,71,38,4.21,-8.345,113.6058,83.19,1613185700
ndende,GA,73.26,96,100,0.63,-2.4008,11.3581,73.26,1613185700
yen bai,VN,69.94,65,74,3.91,21.7,104.8667,69.94,1613185701
sujiatun,CN,41.0,75,90,2.24,41.6592,123.3392,41.0,1613185511
akhmim,EG,57.2,51,0,6.91,26.5622,31.745,57.2,1613185701
namie,JP,57.0,54,21,3.85,37.4833,141.0,57.0,1613185701
ekhabi,RU,17.26,95,100,4.41,53.5102,142.9671,17.26,1613185702
dunedin,NZ,61.21,74,60,1.99,-45.8742,170.5036,63.0,1613185702
ust-ilimsk,RU,-6.47,89,100,7.47,58.0006,102.6619,-6.47,1613185702
missoula,US,3.42,60,1,12.66,47.0166,-113.8009,3.99,1613185502
banamba,ML,74.71,18,19,9.13,13.55,-7.45,74.71,1613185703
tromso,NO,26.28,93,75,18.41,69.6496,18.957,26.6,1613185703
vostok,RU,28.44,96,100,5.21,46.4856,135.8833,28.44,1613185703
kjollefjord,NO,26.11,95,94,19.66,70.9457,27.3465,26.11,1613185703
sitka,US,37.4,28,20,6.91,57.0531,-135.33,37.4,1613185704
rockhampton,AU,91.4,33,11,8.05,-23.3833,150.5,91.4,1613185704
herat,AF,39.2,56,0,2.3,34.5,62.0,39.2,1613185517
namatanai,PG,84.72,71,60,7.29,-3.6667,152.4333,84.72,1613185705
torbat-e jam,IR,44.15,60,0,0.47,35.244,60.6225,44.15,1613185705
northampton,US,25.41,40,90,2.08,40.8754,-75.2499,28.4,1613185470
libenge,CD,68.94,28,49,2.37,3.65,18.6333,68.94,1613185705
isangel,VU,82.4,83,90,4.85,-19.55,169.2667,82.4,1613185502
caucaia,BR,82.2,78,40,8.05,-3.7361,-38.6531,82.4,1613185706
omsukchan,RU,-11.0,86,19,5.12,62.5333,155.8,-11.0,1613185706
banjar,ID,86.0,70,20,10.36,-8.19,114.9675,86.0,1613185706
taoudenni,ML,66.45,22,0,15.43,22.6783,-3.9836,66.45,1613185707
salinas,US,53.08,82,40,5.75,36.6777,-121.6555,53.6,1613185707
uni,RU,10.09,96,100,9.1,57.7535,51.4923,10.09,1613185707
sarangani,PH,82.17,80,81,13.15,5.4033,125.4636,82.17,1613185707
flinders,AU,64.99,95,100,1.01,-34.5833,150.8552,64.99,1613185708
russkiy kameshkir,RU,33.94,93,100,15.97,52.8589,46.0892,33.94,1613185708
